Density(P/Km2);Birth Rate;Co2-Emissions;CPI;CPI Change (%);Fertility Rate;GDP;Infant mortality;Life expectancy;Maternal mortality ratio;Out of pocket health expenditure;Physicians per thousand;Population;Population: Labor force participation (%);Unemployment rate;
214;13,89;28,284;125,34;2,30%;1,9;32100000000;13,7;72,1;89;33,12%;3,67;25666161;80,40%;2,74%;
83;20,21;37,5775;125,34;2,30%;2,69;10220781069;21,33;72,3;53;35,60%;1,84;1836713;62,70%;7,91%;
15;10,4;41,023;120,27;2,20%;1,56;4,03336E+11;2,1;82,8;2;14,30%;2,92;5347896;63,80%;3,35%;
16;19,19;63,457;113,53;0,10%;2,89;76983094928;9,8;77,6;19;6,40%;2;5266535;72,40%;2,67%;
287;28,25;201,15;182,32;10,60%;3,51;3,044E+11;57,2;67,1;140;66,50%;0,98;216565318;52,60%;4,45%;
39;14;224;118,17;1,30%;2,21;283994900;16,6;69,1;53;21,80%;1,18;18233;62,70%;7,91%;
847;20,21;37,5775;125,34;2,30%;2,69;34387229486;21,33;72,3;53;33,12%;1,84;8826588;62,70%;7,91%;
58;18,98;10,715;122,07;-0,40%;2,46;66800800000;13,1;78,3;52;30,50%;1,57;4246439;66,60%;3,90%;
20;27,07;7,536;155,99;3,60%;3,56;24969611435;38;64,3;145;5,80%;0,07;8776109;47,20%;2,46%;
18;20,57;7,407;143,82;2,80%;2,43;38145288940;17,2;74,1;129;36,50%;1,35;7044636;72,10%;4,81%;
26;17,95;57,414;129,78;2,10%;2,25;2,26848E+11;11,1;76,5;88;30,90%;1,27;32510453;77,60%;3,31%;
368;20,55;122,287;129,61;2,50%;2,58;3,76796E+11;22,5;71,1;121;53,50%;0,6;108116615;59,60%;2,15%;
124;10,2;299,037;114,11;2,20%;1,46;5,92164E+11;3,8;77,6;2;23,20%;2,38;37970874;56,70%;3,47%;
111;8,5;48,742;110,62;0,30%;1,38;2,37686E+11;3,1;81,3;8;27,70%;5,12;10269417;58,80%;6,33%;
248;9,54;103,259;115,38;-0,70%;1,87;1,83466E+11;5,8;80,1;9;6,20%;2,49;2832067;86,80%;0,09%;
84;9,6;69,259;123,78;3,80%;1,71;2,50077E+11;6,1;75,4;19;21,30%;2,98;19356544;54,70%;3,98%;
9;11,5;1732,027;180,75;4,50%;1,57;1,69988E+12;6,1;72,7;17;36,40%;4,01;144373535;61,80%;4,59%;
525;31,7;1,115;151,09;3,40%;4,04;10122472590;27;68,7;248;26,00%;0,13;12626950;83,70%;1,03%;
205;12,6;238;104,57;-1,00%;2,11;1050992593;9,8;71,3;53;56,60%;2,52;52823;62,70%;7,91%;
301;12;414;110,13;1,90%;1,44;2122450630;14,9;76,1;117;48,40%;0,64;18279;67,10%;20,71%;
284;14,24;220;109,67;2,30%;1,89;825385185;14,8;72,4;68;21,40%;0,66;100455;65,90%;18,88%;
70;24,38;246;117,56;1,00%;3,88;850655017;13,6;73,2;43;11,50%;0,34;202506;43,70%;8,36%;
566;6,8;37,5775;110,63;1,00%;1,26;1637931034;1,7;85,4;53;18,30%;6,11;3386;62,70%;7,91%;
228;31,54;121;185,09;7,90%;4,32;429016605;24,4;70,2;130;11,70%;0,05;215056;57,80%;13,37%;
16;17,8;563,449;118,4;-1,20%;2,32;7,92967E+11;6;75;17;15,00%;2,61;34268528;55,90%;5,93%;
87;34,52;10,902;109,25;1,80%;4,63;23578084052;31,8;67,7;315;44,20%;0,07;16296364;45,70%;6,60%;
100;9,2;45,221;144;1,80%;1,49;51409167351;4,8;75,5;12;40,60%;3,11;6944975;54,90%;12,69%;
214;17,1;605;129,96;1,80%;2,41;1698843063;12,4;72,8;53;2,50%;0,95;97625;62,70%;7,91%;
111;33,41;1,093;234,16;14,80%;4,26;3941474311;78,5;54,3;1120;38,20%;0,03;7813215;57,90%;4,43%;
8,358;8,8;37,535;114,41;0,60%;1,14;3,72063E+11;2,3;83,1;8;36,70%;2,29;5703569;70,50%;4,11%;
114;10,6;32,424;115,34;2,70%;1,52;1,05422E+11;4,6;77,2;5;18,40%;3,42;5454073;59,50%;5,56%;
103;9,4;12,633;111,05;1,60%;1,6;53742159517;1,7;81;7;12,50%;3,09;2087946;58,40%;4,20%;
25;32,44;169;133,06;1,60%;4,4;1425074226;17,1;72,8;104;3,30%;0,19;669823;83,80%;0,58%;
25;41,75;645;125,34;2,30%;6,07;4720727278;76,6;57,1;829;33,12%;0,02;15442905;47,40%;11,35%;
49;20,51;476,644;158,93;4,10%;2,41;3,51432E+11;28,5;63,9;119;7,70%;0,91;58558270;56,00%;28,18%;
527;6,4;620,302;115,16;0,40%;0,98;2,029E+12;2,7;82,6;11;36,80%;2,36;51709098;63,00%;4,15%;
18;35,01;1,727;4583,71;187,90%;4,7;11997800751;63,7;57,6;1150;61,30%;1,84;11062113;72,40%;12,24%;
94;7,9;244,002;110,96;0,70%;1,26;1,39412E+12;2,5;83,3;4;24,20%;3,87;47076781;57,50%;13,96%;
341;15,83;23,362;155,53;3,50%;2,2;84008783756;6,4;76,8;36;38,40%;1;21803000;53,90%;4,20%;
25;32,18;20;1344,19;51,00%;4,41;18902284476;42,1;65,1;295;63,20%;0,26;42813238;48,40%;16,53%;
4;18,54;1,738;294,66;22,00%;2,42;3985250737;16,9;71,6;120;10,10%;1,21;581372;51,10%;7,33%;
25;11,4;43,252;110,51;1,80%;1,76;5,30833E+11;2,2;82,5;4;15,20%;3,98;10285453;64,60%;6,48%;
219;10;34,477;99,55;0,40%;1,52;7,03082E+11;3,7;83,6;5;28,30%;4,3;8574832;68,30%;4,58%;
95;23,69;28,83;143,2;36,70%;2,81;40405006007;14;71,8;31;53,70%;1,22;17070135;44,10%;8,37%;
68;30,76;5,31;148,57;6,00%;3,59;8116626794;30,4;70,9;17;63,10%;1,7;9321018;42,00%;11,02%;
67;36,7;11,973;187,43;3,50%;4,89;63177068175;37,6;65;524;26,10%;0,01;58005463;83,40%;1,98%;
137;10,34;283,763;113,27;0,70%;1,53;5,4365E+11;7,8;76,9;37;11,80%;0,81;69625582;67,30%;0,75%;
89;29,42;495;145,38;2,60%;4,02;1673540300;39,3;69,3;142;10,20%;0,72;3500000;67,30%;4,55%;
152;33,11;3;113,3;0,70%;4,32;5459979417;47,4;60,8;396;51,00%;0,08;8082366;77,60%;2,04%;
147;24,3;128;121,09;7,40%;3,56;450353314;13,4;70,8;52;10,20%;0,52;100209;59,80%;1,12%;
